Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,9,37.50%,2026-03-19T16:27:19.203371,2,50.00%,25.00%,50.00%,0.00%,50.00%
伦敦大本钟,deepseek,context,Direct,14,58.33%,2026-03-19T16:32:01.809350,3,37.50%,25.00%,100.00%,75.00%,75.00%
北京天安门,deepseek,context,Direct,12,50.00%,2026-03-19T16:37:51.864757,3,37.50%,25.00%,75.00%,50.00%,75.00%
多伦多CN塔,deepseek,context,Direct,17,70.83%,2026-03-19T16:42:48.650519,2,50.00%,100.00%,75.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,13,54.17%,2026-03-19T16:53:13.829237,5,37.50%,50.00%,75.00%,50.00%,75.00%
广州塔,deepseek,context,Direct,12,50.00%,2026-03-19T17:13:42.843162,3,50.00%,25.00%,75.00%,0.00%,100.00%
旧金山联合广场,deepseek,context,Direct,14,58.33%,2026-03-19T17:22:58.723656,2,37.50%,50.00%,75.00%,75.00%,75.00%
柏林勃兰登堡门,deepseek,context,Direct,14,58.33%,2026-03-19T17:43:47.525719,6,37.50%,75.00%,50.00%,50.00%,100.00%
武汉黄鹤楼,deepseek,context,Direct,12,50.00%,2026-03-19T17:47:43.758647,3,50.00%,25.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,deepseek,context,Direct,10,41.67%,2026-03-19T17:51:51.441000,2,25.00%,25.00%,75.00%,0.00%,100.00%
纽约时代广场,deepseek,context,Direct,17,70.83%,2026-03-19T17:56:06.837185,2,62.50%,50.00%,50.00%,100.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,15,62.50%,2026-03-19T18:21:18.966739,1,37.50%,100.00%,50.00%,50.00%,100.00%
罗马斗兽场,deepseek,context,Direct,17,70.83%,2026-03-19T18:24:18.804460,7,50.00%,50.00%,100.00%,75.00%,100.00%
芝加哥千禧公园,deepseek,context,Direct,10,41.67%,2026-03-19T18:28:50.412148,3,12.50%,50.00%,75.00%,25.00%,75.00%
长沙五一广场,deepseek,context,Direct,12,50.00%,2026-03-19T18:33:29.641676,7,75.00%,50.00%,75.00%,0.00%,25.00%
