Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,10,41.67%,2026-03-21T21:37:14.275764,8,37.50%,25.00%,50.00%,50.00%,50.00%
伦敦大本钟,deepseek,context,Direct,12,50.00%,2026-03-21T21:39:59.523149,6,37.50%,25.00%,100.00%,25.00%,75.00%
北京天安门,deepseek,context,Direct,15,62.50%,2026-03-21T21:43:14.176903,8,50.00%,25.00%,100.00%,50.00%,100.00%
多伦多CN塔,deepseek,context,Direct,14,58.33%,2026-03-21T21:46:17.073471,6,50.00%,75.00%,50.00%,75.00%,50.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,13,54.17%,2026-03-21T21:50:02.016174,9,50.00%,50.00%,75.00%,25.00%,75.00%
广州塔,deepseek,context,Direct,11,45.83%,2026-03-21T21:51:35.362305,6,50.00%,25.00%,100.00%,0.00%,50.00%
旧金山联合广场,deepseek,context,Direct,13,54.17%,2026-03-21T21:54:07.735966,8,25.00%,75.00%,75.00%,75.00%,50.00%
柏林勃兰登堡门,deepseek,context,Direct,13,54.17%,2026-03-21T21:56:29.458670,9,62.50%,50.00%,50.00%,25.00%,75.00%
武汉黄鹤楼,deepseek,context,Direct,10,41.67%,2026-03-21T22:01:54.011232,5,37.50%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,deepseek,context,Direct,12,50.00%,2026-03-21T22:05:18.569845,3,50.00%,50.00%,75.00%,0.00%,75.00%
纽约时代广场,deepseek,context,Direct,16,66.67%,2026-03-21T22:07:51.086016,7,50.00%,50.00%,50.00%,100.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,12,50.00%,2026-03-21T22:10:33.735157,6,37.50%,75.00%,25.00%,75.00%,50.00%
罗马斗兽场,deepseek,context,Direct,16,66.67%,2026-03-21T22:13:33.312975,8,62.50%,25.00%,100.00%,50.00%,100.00%
芝加哥千禧公园,deepseek,context,Direct,10,41.67%,2026-03-21T22:17:43.056597,5,25.00%,50.00%,75.00%,0.00%,75.00%
长沙五一广场,deepseek,context,Direct,11,45.83%,2026-03-21T22:20:09.832053,11,50.00%,0.00%,75.00%,50.00%,50.00%
