Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,13,54.17%,2026-03-21T22:26:58.097057,3,37.50%,25.00%,100.00%,50.00%,75.00%
伦敦大本钟,deepseek,context,Direct,14,58.33%,2026-03-21T22:30:43.485836,0,37.50%,0.00%,75.00%,100.00%,100.00%
北京天安门,deepseek,context,Direct,14,58.33%,2026-03-21T22:36:02.590654,3,37.50%,25.00%,100.00%,50.00%,100.00%
多伦多CN塔,deepseek,context,Direct,15,62.50%,2026-03-21T22:39:45.173617,1,50.00%,75.00%,50.00%,75.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,16,66.67%,2026-03-21T22:42:39.080579,3,37.50%,50.00%,100.00%,75.00%,100.00%
广州塔,deepseek,context,Direct,15,62.50%,2026-03-21T22:44:39.038183,0,75.00%,25.00%,100.00%,0.00%,100.00%
旧金山联合广场,deepseek,context,Direct,11,45.83%,2026-03-21T22:47:52.718242,1,12.50%,25.00%,100.00%,50.00%,75.00%
柏林勃兰登堡门,deepseek,context,Direct,14,58.33%,2026-03-21T22:51:55.947042,2,25.00%,75.00%,50.00%,75.00%,100.00%
武汉黄鹤楼,deepseek,context,Direct,11,45.83%,2026-03-21T22:56:41.135690,1,50.00%,0.00%,75.00%,25.00%,75.00%
洛杉矶好莱坞,deepseek,context,Direct,15,62.50%,2026-03-21T23:00:56.961061,0,62.50%,50.00%,75.00%,25.00%,100.00%
纽约时代广场,deepseek,context,Direct,16,66.67%,2026-03-21T23:04:27.964426,2,50.00%,50.00%,50.00%,100.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,12,50.00%,2026-03-21T23:07:40.479588,1,37.50%,100.00%,25.00%,25.00%,75.00%
罗马斗兽场,deepseek,context,Direct,18,75.00%,2026-03-21T23:11:04.584545,3,50.00%,75.00%,100.00%,75.00%,100.00%
芝加哥千禧公园,deepseek,context,Direct,10,41.67%,2026-03-21T23:15:28.897910,1,25.00%,50.00%,75.00%,0.00%,75.00%
长沙五一广场,deepseek,context,Direct,12,50.00%,2026-03-21T23:18:01.769177,5,62.50%,25.00%,50.00%,0.00%,100.00%
